name,turnover,holding_period_days,concentration_hhi,buy_sell_symmetry,volatility_pref,realized_return_pref,max_drawdown_pref,market_state_exposure,trade_interval_days,ind_交通运输,ind_传媒,ind_公用事业,ind_农林牧渔,ind_医药生物,ind_商贸零售,ind_国防军工,ind_基础化工,ind_家用电器,ind_建筑材料,ind_建筑装饰,ind_房地产,ind_有色金属,ind_机械设备,ind_汽车,ind_煤炭,ind_环保,ind_电力设备,ind_电子,ind_石油石化,ind_社会服务,ind_纺织服饰,ind_综合,ind_美容护理,ind_计算机,ind_轻工制造,ind_通信,ind_钢铁,ind_银行,ind_非银金融,ind_食品饮料
sim_acct_0000,7.188988985973674,54.0709524760483,0.483513959449353,0.5318638299883138,0.0826982603301389,0.010962703350549911,0.7610814445396332,0.29618566981133515,5.346911343787263,0.3618265632955671,1.1192831240089033e-37,2.8528491838502682e-21,6.437887748245549e-57,5.403665350976285e-54,0.11020890613713973,4.2678887148233753e-69,3.2203548364678363e-28,2.5068892661638296e-08,3.759273644967454e-12,5.602601199911912e-72,2.9605355250632417e-27,2.363961266057091e-39,5.5507990438295995e-33,4.668664451376987e-69,0.08599273057480482,0.0001527628144871719,2.9519765783326267e-06,6.490255497599789e-07,0.05618499444340767,1.870188106782458e-24,0.2892873726697528,5.175052358111929e-19,1.364687061678227e-112,2.329106122494412e-43,5.038818041706854e-47,7.573032111020493e-90,0.035030655333951756,0.06131238865610889,1.1686449001883556e-53,7.967046532898522e-37
sim_acct_0001,82.63805740110558,2.862902470128271,0.28571991362485266,0.4037917347198226,0.1332500756627889,-0.007955377127547673,1.0,0.20898212550035275,1.6763729839552546,4.46309860295451e-09,1.1124474161626184e-28,1.8590973508753588e-09,1.3836121411334577e-61,0.0015780149699596497,0.0003799640883765839,0.02876098570772066,2.9771177301267536e-08,1.15175487092994e-92,5.560908384482744e-06,0.025570991742153545,5.774340601333758e-16,0.7096469718816473,0.06469995462717576,0.07291179131629585,3.828100551205241e-43,7.794290675204754e-07,0.00023805271891304855,4.127371518978737e-05,0.00840311580416208,2.1377700747382956e-49,3.73522752400527e-16,1.1596312325137657e-14,6.72605435107864e-11,0.04493538717292423,3.4169585411591864e-108,2.0606782857727867e-08,2.8963523931706512e-06,1.7583070623045485e-56,0.04282420279820692,3.0120364191135787e-87
sim_acct_0002,29.577487068324125,5.961270922293367,0.5061085117035641,0.7802057961219567,0.03619013564085451,-0.01192726101835906,1.0,0.2276918467264371,4.747806458893532,2.961346586131079e-28,0.07843970977956721,2.497562442959147e-09,3.134751314564532e-06,8.175040579505966e-16,3.3107028191420593e-88,0.000930136686201408,0.33304247933153575,3.056740847326445e-34,8.122873554675263e-80,5.471863513627819e-38,3.1251158264720043e-30,0.0005533675017167929,0.0005199291815915526,1.1250795823179373e-06,2.356741917223902e-14,0.0052006595442109175,0.15788007575150007,0.18553215698244174,0.18493862482380213,1.780336422912927e-48,4.51669452901206e-55,7.687883689892278e-05,1.0459781361198972e-11,0.052872397856899074,3.184345495383226e-87,4.0828122082479096e-180,9.321384691083041e-06,4.857609019549462e-112,3.0621819045615922e-31,1.4018439652077322e-71
sim_acct_0003,6.41841862648531,57.239339839392514,0.4066569389630579,0.4199219565298534,0.08322071613837011,-0.029549364289817373,0.654418644161658,0.40370607832793726,6.523330607982108,0.08176404887163892,0.0007322360748904227,1.7652056861514204e-46,5.339969066709359e-29,5.723383775436708e-13,1.0471744396154694e-05,7.107627285289564e-66,2.9525626980809664e-16,3.899819366514847e-103,1.4251035063832973e-27,4.171319071087894e-48,1.997654125433296e-59,0.0004258334467119111,4.263108889694938e-05,3.416906731828375e-36,0.49750585715710716,5.357897845869387e-13,2.729132420532609e-235,4.738340318030922e-30,0.27238994251593035,9.715972443004497e-20,0.07885986656392883,5.402145820667698e-74,5.023081661949413e-10,0.0549331085036092,1.1877398613794795e-43,9.044447222549168e-14,0.00028094672997965443,0.013055056799401953,1.2728955875616207e-15,7.914141134614465e-36
sim_acct_0004,92.0707342486882,3.1172425644581834,0.2738375672527714,0.48063818780160106,0.13119657016632855,0.02848142564230216,0.9522260232786876,0.28519230660146155,1.5914904412913704,4.817606031054103e-13,3.1482802764361796e-213,0.0004351745120661519,1.4361894999571961e-25,0.11229661814979226,0.005241395719042495,0.11173398288598432,3.620800929244663e-27,2.7649277009639383e-29,0.0016719258095103762,0.0005392096107291544,1.1121837795864584e-25,0.5920382071091385,0.02339191588420593,0.014695903449072751,1.6934288532067933e-07,1.0692382704734231e-08,0.06751175450048004,0.012149398716189195,1.957309357029572e-08,1.8543734208161515e-35,4.581061794187034e-106,2.1204749448135256e-43,2.6844119815981844e-48,0.005949284531888078,0.012889243901558524,9.80268044400397e-23,0.027493375811427405,2.610928190526632e-40,0.011962389060683582,2.0739387750681155e-08
sim_acct_0005,38.290370899727705,7.151331589726208,0.3539458589619235,0.3653342792842689,0.03277206776915093,0.007657901375274889,1.0,0.27782588802565794,3.202372644621541,0.0003157674107805109,0.04922214600509658,2.9431499199169033e-09,9.481162181095237e-10,6.021267843179491e-12,7.317546317538e-21,7.1676073403936574e-06,0.48927022803796116,2.3951461696854774e-15,0.0037902713892042183,2.156944410961426e-09,8.620599944907151e-123,0.0023940866696273906,0.004597543392137149,4.419944260820278e-06,2.2790271517422412e-29,1.779847847086577e-07,0.06248118142255419,0.3399023045231314,0.0212820258649725,6.362863255949643e-140,1.50182930925945e-39,7.646116823085511e-20,8.003211229562803e-05,0.026652641581470723,1.5791133405837612e-49,1.1559324940273697e-152,1.4839771016427419e-13,3.072226461799049e-28,9.904273722870345e-38,4.5259213572812446e-36
sim_acct_0006,6.724588439296705,63.03985366266221,0.5020703638737173,0.6945576853730641,0.09160047804186043,0.0613244417522754,0.6643713129925966,0.42702432021434933,4.532532076109389,0.3800748812217494,5.0851923973662345e-62,1.4954996166493187e-06,2.2329500281851677e-10,3.2936075096912325e-97,0.021914425547898887,6.552280191242306e-23,2.508552132691039e-52,5.758447043254118e-48,8.690800994390591e-44,0.046495850990710796,5.252251810857987e-05,7.448971001149826e-27,2.2472794006377022e-39,4.18620579106063e-28,0.26429895008147375,8.064748383047465e-38,3.552603820647502e-74,4.163618342788604e-23,0.02149362882415903,1.9116576604782863e-111,0.22525488888363857,2.3020869041980755e-16,0.0006728155253688531,1.2540156668836498e-177,1.6860389539701003e-05,5.7606783467442205e-124,7.796335824085079e-06,0.039556073092935976,1.8417431537719916e-12,0.0001598108638385961
sim_acct_0007,121.94596787978884,3.147441938137401,0.28154515299725547,0.524696702978446,0.13034724569867256,0.022502393552306897,0.8966721855080624,0.25592920533874947,1.4338520042198366,1.5374385805857635e-10,2.2040144449711e-55,2.571295774773204e-05,4.3435599211704414e-10,1.2030224972648638e-09,5.323803317092023e-12,2.910279888702556e-05,7.398641134073516e-18,3.153769161713773e-09,0.02448591103522781,1.9212740766345726e-05,0.0019418045070778264,0.9047819082317617,0.05075892714940124,0.00013316303290498294,1.2904814026614047e-76,1.1188677166862905e-82,0.010044456902692324,1.4727593537844839e-05,8.29369657983854e-09,2.1367882097132738e-19,1.2816175124815823e-40,8.40225880357272e-20,2.077753664260087e-36,0.00572679769130607,2.19368758491151e-18,2.236193511241086e-20,3.3714365294567174e-09,4.871656316626537e-30,0.0020382587433408106,5.146752919166768e-45
sim_acct_0008,38.633748191386545,7.357203107509492,0.3179600024081419,0.5495656658128513,0.03463450610944957,-0.02313705020600019,0.9990847782830068,0.2418890445937691,3.2091416968993873,1.3577929217968437e-24,0.029570196411717063,0.00657453991539301,0.00010505541396580059,3.8000666614495173e-05,1.6063805419440287e-21,7.736543594557281e-07,0.2489307805638488,1.145303498032276e-18,5.582908044462846e-42,2.580855608916309e-22,1.4010813830953722e-30,0.0025431561200266284,0.0003572834344250016,5.162230769423756e-12,1.740615796038149e-27,0.012323604386078563,0.28001715662297977,0.37271237870023394,0.03880129711490798,5.214149828109822e-43,8.941943253488053e-84,1.2024882575152287e-20,2.0616286414796655e-05,0.007732532031094918,0.00017095868454002788,3.450185608952497e-59,0.00010166998823059052,5.3680467905897935e-48,7.0709991213659064e-15,3.6626369980157257e-65
sim_acct_0009,4.812022250157285,56.244780867275495,0.5693865779566534,0.6726463876930019,0.08397257627785623,-0.02285135052906221,0.7510958016981228,0.34175725734578255,5.789232481797388,0.1103379592369549,2.664590128965098e-56,7.83503189907553e-158,4.9245600147695545e-29,1.365408574752216e-29,0.013299984241759441,2.0882835716473824e-57,2.0902787760922035e-19,1.4830873043803665e-05,4.874764840207121e-191,7.147310714034205e-64,8.729287247800368e-147,1.3901088056477796e-58,1.1938290274205354e-121,7.644972393383414e-05,0.30063141276726923,3.000343980215403e-89,4.862697447151719e-11,9.295266344913961e-89,0.013623602200620739,2.5672793241609906e-41,0.44704864134430883,5.054948876724048e-25,1.831587025742231e-87,2.368859142176217e-30,2.837137428007392e-11,8.376695143072293e-61,0.0010132216810839216,0.11395389785402699,2.0622077192364485e-221,1.5707037449526829e-37
