stock_code,stock_name,industry,source,review_priority,review_industry,review_note
159883,,医药生物,deepseek,4,医药生物,
159938,,医药生物,deepseek,4,医药生物,
512010,,医药生物,deepseek,4,医药生物,
512290,,医药生物,deepseek,4,医药生物,
512890,,医药生物,deepseek,4,医药生物,
513030,,医药生物,deepseek,4,医药生物,
159980,,有色金属,deepseek,4,有色金属,
159981,,有色金属,deepseek,4,有色金属,
512400,,有色金属,deepseek,4,有色金属,
518880,,有色金属,deepseek,4,有色金属,
516970,,机械设备,deepseek,4,机械设备,
515450,,汽车,deepseek,4,汽车,
515220,,煤炭,deepseek,4,煤炭,
159611,,电力设备,deepseek,4,电力设备,
159632,,电力设备,deepseek,4,电力设备,
159915,,电力设备,deepseek,4,电力设备,
159201,,电子,deepseek,4,电子,
159399,,电子,deepseek,4,电子,
159941,,电子,deepseek,4,电子,
512480,,电子,deepseek,4,电子,
513100,,电子,deepseek,4,电子,
513300,,电子,deepseek,4,电子,
513500,,电子,deepseek,4,电子,
513630,,电子,deepseek,4,电子,
588000,科创50ETF,电子,deepseek,4,电子,
588080,,电子,deepseek,4,电子,
588180,,电子,deepseek,4,电子,
588200,,电子,deepseek,4,电子,
588290,,电子,deepseek,4,电子,
159985,,石油石化,deepseek,4,石油石化,
510500,,综合,deepseek,4,综合,
513520,,综合,deepseek,4,综合,
159530,,计算机,deepseek,4,计算机,
159740,,计算机,deepseek,4,计算机,
159920,,计算机,deepseek,4,计算机,
159967,,计算机,deepseek,4,计算机,
510900,,计算机,deepseek,4,计算机,
513180,,计算机,deepseek,4,计算机,
510300,,银行,deepseek,4,银行,
510880,,银行,deepseek,4,银行,
511010,,银行,deepseek,4,银行,
511380,,银行,deepseek,4,银行,
512800,,银行,deepseek,4,银行,
515290,,银行,deepseek,4,银行,
560090,,银行,deepseek,4,银行,
510050,,非银金融,deepseek,4,非银金融,
510180,,非银金融,deepseek,4,非银金融,
511360,,非银金融,deepseek,4,非银金融,
511660,,非银金融,deepseek,4,非银金融,
511880,,非银金融,deepseek,4,非银金融,
511990,,非银金融,deepseek,4,非银金融,
512880,,非银金融,deepseek,4,非银金融,
159736,,食品饮料,deepseek,4,食品饮料,
159928,,食品饮料,deepseek,4,食品饮料,
000088,盐 田 港,交通运输,deepseek,2,交通运输,
000429,粤高速Ａ,交通运输,deepseek,2,交通运输,
000927,中国铁物,交通运输,deepseek,2,交通运输,
001202,炬申股份,交通运输,deepseek,2,交通运输,
001213,中铁特货,交通运输,deepseek,2,交通运输,
001228,永泰运,交通运输,deepseek,2,交通运输,
001965,招商公路,交通运输,deepseek,2,交通运输,
002040,南 京 港,交通运输,deepseek,2,交通运输,
002120,韵达股份,交通运输,deepseek,2,交通运输,
002492,恒基达鑫,交通运输,deepseek,2,交通运输,
002800,天顺股份,交通运输,deepseek,2,交通运输,
600012,皖通高速,交通运输,deepseek,2,交通运输,
600017,日照港,交通运输,deepseek,2,交通运输,
600018,上港集团,交通运输,deepseek,2,交通运输,
600020,中原高速,交通运输,deepseek,2,交通运输,
600026,中远海能,交通运输,deepseek,2,交通运输,
600033,福建高速,交通运输,deepseek,2,交通运输,
600035,楚天高速,交通运输,deepseek,2,交通运输,
600057,厦门象屿,交通运输,deepseek,2,交通运输,
600106,重庆路桥,交通运输,deepseek,2,交通运输,
600115,中国东航,交通运输,deepseek,2,交通运输,
600119,*ST长投,交通运输,deepseek,2,交通运输,
600153,建发股份,交通运输,deepseek,2,交通运输,
600179,安通控股,交通运输,deepseek,2,交通运输,
600180,*ST瑞茂,交通运输,deepseek,2,交通运输,
600221,海航控股,交通运输,deepseek,2,交通运输,
600233,圆通速递,交通运输,deepseek,2,交通运输,
600269,赣粤高速,交通运输,deepseek,2,交通运输,
600279,重庆港,交通运输,deepseek,2,交通运输,
600350,山东高速,交通运输,deepseek,2,交通运输,
600377,宁沪高速,交通运输,deepseek,2,交通运输,
600428,中远海特,交通运输,deepseek,2,交通运输,
600548,深高速,交通运输,deepseek,2,交通运输,
600561,江西长运,交通运输,deepseek,2,交通运输,
600575,淮河能源,交通运输,deepseek,2,交通运输,
600650,锦江在线,交通运输,deepseek,2,交通运输,
600704,物产中大,交通运输,deepseek,2,交通运输,
600751,海航科技,交通运输,deepseek,2,交通运输,
600794,保税科技,交通运输,deepseek,2,交通运输,
600834,申通地铁,交通运输,deepseek,2,交通运输,
600897,厦门空港,交通运输,deepseek,2,交通运输,
601000,唐山港,交通运输,deepseek,2,交通运输,
601107,四川成渝,交通运输,deepseek,2,交通运输,
601111,中国国航,交通运输,deepseek,2,交通运输,
601228,广州港,交通运输,deepseek,2,交通运输,
601298,青岛港,交通运输,deepseek,2,交通运输,
601326,秦港股份,交通运输,deepseek,2,交通运输,
601598,中国外运,交通运输,deepseek,2,交通运输,
601816,京沪高铁,交通运输,deepseek,2,交通运输,
601866,中远海发,交通运输,deepseek,2,交通运输,
601872,招商轮船,交通运输,deepseek,2,交通运输,
601880,辽港股份,交通运输,deepseek,2,交通运输,
601919,中远海控,交通运输,deepseek,2,交通运输,
603069,海汽集团,交通运输,deepseek,2,交通运输,
603162,海通发展,交通运输,deepseek,2,交通运输,
603167,渤海轮渡,交通运输,deepseek,2,交通运输,
603209,兴通股份,交通运输,deepseek,2,交通运输,
603223,恒通股份,交通运输,deepseek,2,交通运输,
603329,上海雅仕,交通运输,deepseek,2,交通运输,
603535,嘉诚国际,交通运输,deepseek,2,交通运输,
603648,畅联股份,交通运输,deepseek,2,交通运输,
603713,密尔克卫,交通运输,deepseek,2,交通运输,
603836,海程邦达,交通运输,deepseek,2,交通运输,
000892,欢瑞世纪,传媒,deepseek,2,传媒,
001330,博纳影业,传媒,deepseek,2,传媒,
002181,粤 传 媒,传媒,deepseek,2,传媒,
002229,鸿博股份,传媒,deepseek,2,传媒,
002238,天威视讯,传媒,deepseek,2,传媒,
002354,天娱数科,传媒,deepseek,2,传媒,
002400,省广集团,传媒,deepseek,2,传媒,
002517,恺英网络,传媒,deepseek,2,传媒,
002602,世纪华通,传媒,deepseek,2,传媒,
002624,完美世界,传媒,deepseek,2,传媒,
002878,元隆雅图,传媒,deepseek,2,传媒,
002995,天地在线,传媒,deepseek,2,传媒,
300027,ST华谊,传媒,deepseek,2,传媒,
300031,宝通科技,传媒,deepseek,2,传媒,
300058,蓝色光标,传媒,deepseek,2,传媒,
300081,ST恒信,传媒,deepseek,2,传媒,
300295,*ST三六五,传媒,deepseek,2,传媒,
300413,芒果超媒,传媒,deepseek,2,传媒,
300418,昆仑万维,传媒,deepseek,2,传媒,
300533,冰川网络,传媒,deepseek,2,传媒,
300612,宣亚国际,传媒,deepseek,2,传媒,
300770,新媒股份,传媒,deepseek,2,传媒,
300860,锋尚文化,传媒,deepseek,2,传媒,
301171,易点天下,传媒,deepseek,2,传媒,
301262,海看股份,传媒,deepseek,2,传媒,
600037,歌华有线,传媒,deepseek,2,传媒,
600556,天下秀,传媒,deepseek,2,传媒,
600633,浙数文化,传媒,deepseek,2,传媒,
600637,东方明珠,传媒,deepseek,2,传媒,
600640,国脉文化,传媒,deepseek,2,传媒,
600715,文投控股,传媒,deepseek,2,传媒,
600959,江苏有线,传媒,deepseek,2,传媒,
600986,浙文互联,传媒,deepseek,2,传媒,
600996,贵广网络,传媒,deepseek,2,传媒,
601599,浙文影业,传媒,deepseek,2,传媒,
601811,新华文轩,传媒,deepseek,2,传媒,
601858,中国科传,传媒,deepseek,2,传媒,
603000,人民网,传媒,deepseek,2,传媒,
603096,新经典,传媒,deepseek,2,传媒,
603444,XD吉比特,传媒,deepseek,2,传媒,
603533,掌阅科技,传媒,deepseek,2,传媒,
603888,新华网,传媒,deepseek,2,传媒,
000407,胜利股份,公用事业,deepseek,2,公用事业,
000539,粤电力Ａ,公用事业,deepseek,2,公用事业,
000593,德龙汇能,公用事业,deepseek,2,公用事业,
000652,泰达股份,公用事业,deepseek,2,公用事业,
000803,山高环能,公用事业,deepseek,2,公用事业,
000862,银星能源,公用事业,deepseek,2,公用事业,
000958,电投产融,公用事业,deepseek,2,公用事业,
001210,金房能源,公用事业,deepseek,2,公用事业,
001299,美能能源,公用事业,deepseek,2,公用事业,
001376,百通能源,公用事业,deepseek,2,公用事业,
001896,豫能控股,公用事业,deepseek,2,公用事业,
002267,陕天然气,公用事业,deepseek,2,公用事业,
002608,江苏国信,公用事业,deepseek,2,公用事业,
002911,佛燃能源,公用事业,deepseek,2,公用事业,
003035,南网能源,公用事业,deepseek,2,公用事业,
003816,中国广核,公用事业,deepseek,2,公用事业,
600011,华能国际,公用事业,deepseek,2,公用事业,
600027,华电国际,公用事业,deepseek,2,公用事业,
600032,浙江新能,公用事业,deepseek,2,公用事业,
600098,广州发展,公用事业,deepseek,2,公用事业,
600116,三峡水利,公用事业,deepseek,2,公用事业,
600149,廊坊发展,公用事业,deepseek,2,公用事业,
600157,永泰能源,公用事业,deepseek,2,公用事业,
600163,中闽能源,公用事业,deepseek,2,公用事业,
600167,联美控股,公用事业,deepseek,2,公用事业,
600168,武汉控股,公用事业,deepseek,2,公用事业,
600187,*ST国中,公用事业,deepseek,2,公用事业,
600283,钱江水利,公用事业,deepseek,2,公用事业,
600310,广西能源,公用事业,deepseek,2,公用事业,
600333,长春燃气,公用事业,deepseek,2,公用事业,
600396,华电辽能,公用事业,deepseek,2,公用事业,
600475,华光环能,公用事业,deepseek,2,公用事业,
600483,福能股份,公用事业,deepseek,2,公用事业,
600509,天富能源,公用事业,deepseek,2,公用事业,
600642,申能股份,公用事业,deepseek,2,公用事业,
600674,川投能源,公用事业,deepseek,2,公用事业,
600681,百川能源,公用事业,deepseek,2,公用事业,
600769,祥龙电业,公用事业,deepseek,2,公用事业,
600780,通宝能源,公用事业,deepseek,2,公用事业,
600803,新奥股份,公用事业,deepseek,2,公用事业,
600821,金开新能,公用事业,deepseek,2,公用事业,
600863,华能蒙电,公用事业,deepseek,2,公用事业,
600868,梅雁吉祥,公用事业,deepseek,2,公用事业,
600905,三峡能源,公用事业,deepseek,2,公用事业,
600917,重庆燃气,公用事业,deepseek,2,公用事业,
600956,新天绿能,公用事业,deepseek,2,公用事业,
601139,深圳燃气,公用事业,deepseek,2,公用事业,
601199,江南水务,公用事业,deepseek,2,公用事业,
601619,嘉泽新能,公用事业,deepseek,2,公用事业,
603080,新疆火炬,公用事业,deepseek,2,公用事业,
603291,联合水务,公用事业,deepseek,2,公用事业,
603318,水发燃气,公用事业,deepseek,2,公用事业,
603393,新天然气,公用事业,deepseek,2,公用事业,
603706,东方环宇,公用事业,deepseek,2,公用事业,
605028,世茂能源,公用事业,deepseek,2,公用事业,
605090,九丰能源,公用事业,deepseek,2,公用事业,
605169,洪通燃气,公用事业,deepseek,2,公用事业,
605368,蓝天燃气,公用事业,deepseek,2,公用事业,
000505,京粮控股,农林牧渔,deepseek,2,农林牧渔,
000639,ST西王,农林牧渔,deepseek,2,农林牧渔,
000713,国投丰乐,农林牧渔,deepseek,2,农林牧渔,
000876,新 希 望,农林牧渔,deepseek,2,农林牧渔,
000930,中粮科技,农林牧渔,deepseek,2,农林牧渔,
002086,东方海洋,农林牧渔,deepseek,2,农林牧渔,
002157,正邦科技,农林牧渔,deepseek,2,农林牧渔,
002299,圣农发展,农林牧渔,deepseek,2,农林牧渔,
002458,益生股份,农林牧渔,deepseek,2,农林牧渔,
002548,金新农,农林牧渔,deepseek,2,农林牧渔,
002567,唐人神,农林牧渔,deepseek,2,农林牧渔,
002679,福建金森,农林牧渔,deepseek,2,农林牧渔,
002696,百洋股份,农林牧渔,deepseek,2,农林牧渔,
002772,众兴菌业,农林牧渔,deepseek,2,农林牧渔,
002982,湘佳股份,农林牧渔,deepseek,2,农林牧渔,
002999,天禾股份,农林牧渔,deepseek,2,农林牧渔,
300087,荃银高科,农林牧渔,deepseek,2,农林牧渔,
300094,国联水产,农林牧渔,deepseek,2,农林牧渔,
300498,温氏股份,农林牧渔,deepseek,2,农林牧渔,
300972,万辰集团,农林牧渔,deepseek,2,农林牧渔,
300999,金龙鱼,农林牧渔,deepseek,2,农林牧渔,
301498,乖宝宠物,农林牧渔,deepseek,2,农林牧渔,
600097,开创国际,农林牧渔,deepseek,2,农林牧渔,
600108,亚盛集团,农林牧渔,deepseek,2,农林牧渔,
600127,金健米业,农林牧渔,deepseek,2,农林牧渔,
600191,华资实业,农林牧渔,deepseek,2,农林牧渔,
